repo,package,release_tag,release_name,release_date_utc,asset_original_name,saved_filename,download_url,content_type,size_bytes
TeamAmaze/AmazeFileManager,com.amaze.filemanager,v3.10,v3.10,2024-02-17T19:42:49+00:00,app-fdroid-release.apk,v3.10.apk,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.10/app-fdroid-release.apk,application/vnd.android.package-archive,10182967
TeamAmaze/AmazeFileManager,com.amaze.filemanager,v3.8.4,v3.8.4,2022-11-20T21:14:01+00:00,app-fdroid-release.apk,v3.8.4.apk,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.8.4/app-fdroid-release.apk,application/vnd.android.package-archive,9107658
TeamAmaze/AmazeFileManager,com.amaze.filemanager,v3.8.2,v3.8.2,2022-09-28T09:41:50+00:00,app-fdroid-release.apk,v3.8.2.apk,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.8.2/app-fdroid-release.apk,application/vnd.android.package-archive,9037391
TeamAmaze/AmazeFileManager,com.amaze.filemanager,v3.8.1,v3.8.1,2022-09-19T18:37:53+00:00,app-fdroid-release.apk,v3.8.1.apk,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.8.1/app-fdroid-release.apk,application/vnd.android.package-archive,9035526
TeamAmaze/AmazeFileManager,com.amaze.filemanager,v3.8,v3.8,2022-09-15T21:54:00+00:00,app-fdroid-release.apk,v3.8.apk,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.8/app-fdroid-release.apk,application/vnd.android.package-archive,9033999
TeamAmaze/AmazeFileManager,com.amaze.filemanager,v3.7.2,v3.7.2,2022-06-15T15:01:55+00:00,app-fdroid-release.apk,v3.7.2.apk,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.7.2/app-fdroid-release.apk,application/vnd.android.package-archive,9382497
TeamAmaze/AmazeFileManager,com.amaze.filemanager,v3.7.1,v3.7.1,2022-06-14T13:52:13+00:00,app-fdroid-release.apk,v3.7.1.apk,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.7.1/app-fdroid-release.apk,application/vnd.android.package-archive,9382618
TeamAmaze/AmazeFileManager,com.amaze.filemanager,v3.7.0,v3.7.0,2022-04-24T23:16:06+00:00,app-fdroid-release.apk,v3.7.0.apk,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.7.0/app-fdroid-release.apk,application/vnd.android.package-archive,9259031
TeamAmaze/AmazeFileManager,com.amaze.filemanager,v3.6.7,v3.6.7,2021-11-09T20:12:03+00:00,app-fdroid-release.apk,v3.6.7.apk,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.6.7/app-fdroid-release.apk,application/vnd.android.package-archive,9142642
TeamAmaze/AmazeFileManager,com.amaze.filemanager,v3.6.6,v3.6.6,2021-11-08T22:35:03+00:00,app-fdroid-release.apk,v3.6.6.apk,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.6.6/app-fdroid-release.apk,application/vnd.android.package-archive,9127802
